Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,Under 5  years,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,5-14 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,15-24 years,190,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,25-34 years,935,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,35-44 years,2411,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,45-54 years,6566,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,55-64 years,15880,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,65-74 years,27167,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,75-84 years,34399,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,85 years and over,42666,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,All,All Ages,130250,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,Under 1 year,6,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,1-4 years,4,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,5-14 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,15-24 years,122,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,25-34 years,640,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,35-44 years,1692,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,45-54 years,4570,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,55-64 years,10455,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,65-74 years,16858,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,75-84 years,18734,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,85 years and over,16581,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Male,All ages,69675,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,Under 1 year,5,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,1-4 years,5,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,5-14 years,3,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,15-24 years,68,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,25-34 years,295,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,35-44 years,719,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,45-54 years,1996,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,55-64 years,5425,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,65-74 years,10308,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,75-84 years,15664,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,85 years and over,26082,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Female,All ages,60570,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States,Unknown,All ages,5,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,United States Total,All,All Ages,130250,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,45-54 years,53,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,55-64 years,99,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,65-74 years,173,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,75-84 years,180,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,85 years and over,129,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Male,All ages,651,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,35-44 years,16,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,45-54 years,33,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,55-64 years,82,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,65-74 years,146,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alabama,Female,75-84 years,154,,,,,,,,,,,,,,,,,,,,,,,,
