Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Lat,Lon
12,12,2020-03-15,0,0,0,Alabama,AL,32.3182,-86.9023
1,1,2020-03-15,0,0,0,Alaska,AK,61.3707,-152.4044
12,13,2020-03-15,0,0,1,Arizona,AZ,33.7298,-111.4312
16,16,2020-03-15,0,0,0,Arkansas,AR,34.9697,-92.3731
414,426,2020-03-15,6,0.0141,6,California,CA,36.1162,-119.6816
130,131,2020-03-15,1,0.0076,0,Colorado,CO,39.0598,-105.3111
24,24,2020-03-15,0,0,0,Connecticut,CT,41.5978,-72.7554
7,7,2020-03-15,0,0,0,Delaware,DE,39.3185,-75.5071
111,115,2020-03-15,4,0.0348,0,Florida,FL,27.7663,-81.6868
98,99,2020-03-15,1,0.0101,0,Georgia,GA,33.0406,-83.6431
6,6,2020-03-15,0,0,0,Hawaii,HI,21.0943,-157.4983
5,5,2020-03-15,0,0,0,Idaho,ID,44.2405,-114.4788
91,93,2020-03-15,0,0,2,Illinois,IL,40.3495,-88.9861
20,20,2020-03-15,0,0,0,Indiana,IN,39.8494,-86.2583
18,18,2020-03-15,0,0,0,Iowa,IA,42.0115,-93.2105
7,8,2020-03-15,1,0.125,0,Kansas,KS,38.5266,-96.7265
20,20,2020-03-15,0,0,0,Kentucky,KY,37.6681,-84.6701
89,91,2020-03-15,2,0.022,0,Louisiana,LA,31.1695,-91.8678
12,12,2020-03-15,0,0,0,Maine,ME,44.6939,-69.3819
32,32,2020-03-15,0,0,0,Maryland,MD,39.0639,-76.8021
163,164,2020-03-15,0,0,1,Massachusetts,MA,42.2302,-71.5301
33,33,2020-03-15,0,0,0,Michigan,MI,43.3266,-84.5361
35,35,2020-03-15,0,0,0,Minnesota,MN,45.6945,-93.9002
10,10,2020-03-15,0,0,0,Mississippi,MS,32.7416,-89.6787
5,5,2020-03-15,0,0,0,Missouri,MO,38.4561,-92.2884
7,7,2020-03-15,0,0,0,Montana,MT,46.9219,-110.4544
17,17,2020-03-15,0,0,0,Nebraska,NE,41.1254,-98.2681
24,24,2020-03-15,0,0,0,Nevada,NV,38.3135,-117.0554
13,13,2020-03-15,0,0,0,New Hampshire,NH,43.4525,-71.5639
96,98,2020-03-15,2,0.0204,0,New Jersey,NJ,40.2989,-74.5210
13,13,2020-03-15,0,0,0,New Mexico,NM,34.8405,-106.2485
729,732,2020-03-15,3,0.0041,0,New York,NY,42.1657,-74.9481
33,33,2020-03-15,0,0,0,North Carolina,NC,35.6301,-79.8064
1,1,2020-03-15,0,0,0,North Dakota,ND,47.5289,-99.7840
37,37,2020-03-15,0,0,0,Ohio,OH,40.3888,-82.7649
7,7,2020-03-15,0,0,0,Oklahoma,OK,35.5653,-96.9289
35,36,2020-03-15,1,0.0278,0,Oregon,OR,44.5720,-122.0709
66,66,2020-03-15,0,0,0,Pennsylvania,PA,40.5908,-77.2098
20,20,2020-03-15,0,0,0,Rhode Island,RI,41.6809,-71.5118
28,28,2020-03-15,0,0,0,South Carolina,SC,33.8569,-80.9450
8,9,2020-03-15,1,0.1111,0,South Dakota,SD,44.2998,-99.4388
39,39,2020-03-15,0,0,0,Tennessee,TN,35.7478,-86.6923
72,72,2020-03-15,0,0,0,Texas,TX,31.0545,-97.5635
28,28,2020-03-15,0,0,0,Utah,UT,40.1500,-111.8624
8,8,2020-03-15,0,0,0,Vermont,VT,44.0459,-72.7107
44,45,2020-03-15,1,0.0222,0,Virginia,VA,37.7693,-78.1700
602,643,2020-03-15,40,0.0622,1,Washington,WA,47.4009,-121.4905
0,0,2020-03-15,0,0,0,West Virginia,WV,38.4912,-80.9545
31,32,2020-03-15,0,0,1,Wisconsin,WI,44.2685,-89.6165
3,3,2020-03-15,0,0,0,Wyoming,WY,42.7560,-107.3025
1033,1060,2020-04-01,27,0.0255,0,Alabama,AL,32.3182,-86.9023
129,132,2020-04-01,3,0.0227,0,Alaska,AK,61.3707,-152.4044
1501,1530,2020-04-01,29,0.019,0,Arizona,AZ,33.7298,-111.4312
574,584,2020-04-01,10,0.0171,0,Arkansas,AR,34.9697,-92.3731
9200,9399,2020-04-01,199,0.0212,0,California,CA,36.1162,-119.6816
2913,2982,2020-04-01,69,0.0231,0,Colorado,CO,39.0598,-105.3111
3472,3557,2020-04-01,85,0.0239,0,Connecticut,CT,41.5978,-72.7554
357,368,2020-04-01,11,0.0299,0,Delaware,DE,39.3185,-75.5071
6869,6956,2020-04-01,87,0.0125,0,Florida,FL,27.7663,-81.6868
4499,4638,2020-04-01,139,0.03,0,Georgia,GA,33.0406,-83.6431
223,224,2020-04-01,1,0.0045,0,Hawaii,HI,21.0943,-157.4983
557,566,2020-04-01,9,0.0159,0,Idaho,ID,44.2405,-114.4788
6839,6980,2020-04-01,141,0.0202,0,Illinois,IL,40.3495,-88.9861
2499,2564,2020-04-01,65,0.0254,0,Indiana,IN,39.8494,-86.2583
538,547,2020-04-01,9,0.0165,0,Iowa,IA,42.0115,-93.2105
475,485,2020-04-01,10,0.0206,0,Kansas,KS,38.5266,-96.7265
