Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Active Diff,Confirmed Diff,Deaths Diff,Recovered Diff,Lat,Lon,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
0,0,2020-03-10,0,0.0,0,Alaska,AK,0,0,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
0,0,2020-03-11,0,0.0,0,Alaska,AK,0,0,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
0,0,2020-03-12,0,0.0,0,Alaska,AK,0,0,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
1,1,2020-03-13,0,0.0,0,Alaska,AK,1,1,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
1,1,2020-03-15,0,0.0,0,Alaska,AK,0,0,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
1,1,2020-03-16,0,0.0,0,Alaska,AK,0,0,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
3,3,2020-03-17,0,0.0,0,Alaska,AK,2,2,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
6,6,2020-03-18,0,0.0,0,Alaska,AK,3,3,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
9,9,2020-03-19,0,0.0,0,Alaska,AK,3,3,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
12,12,2020-03-20,0,0.0,0,Alaska,AK,3,3,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
15,15,2020-03-21,0,0.0,0,Alaska,AK,3,3,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
20,20,2020-03-22,0,0.0,0,Alaska,AK,5,5,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
30,30,2020-03-23,0,0.0,0,Alaska,AK,10,10,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
34,34,2020-03-24,0,0.0,0,Alaska,AK,4,4,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
40,41,2020-03-25,1,0.0244,0,Alaska,AK,6,7,1,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
55,56,2020-03-26,1,0.0179,0,Alaska,AK,15,15,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
57,58,2020-03-27,1,0.0172,0,Alaska,AK,2,2,0,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
83,85,2020-03-28,2,0.0235,0,Alaska,AK,26,27,1,0,61.3707,-152.4044,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
