Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
12,12,2020-03-15,0,0.0,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
1033,1060,2020-04-01,27,0.0255,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
3957,4075,2020-04-15,118,0.028999999999999998,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
7005,7294,2020-05-01,289,0.0396,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
10890,11373,2020-05-15,483,0.0425,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
17984,18630,2020-06-01,646,0.0347,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
25498,26272,2020-06-15,774,0.0295,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
37990,38962,2020-07-01,972,0.0249,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
57856,59067,2020-07-15,1211,0.0205,0,Alabama,AL,49481.33999999997,4846150.0,97.93894021463451,26883.102656129093,41750.0
1,1,2020-03-15,0,0.0,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
129,132,2020-04-01,3,0.0227,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
284,293,2020-04-15,9,0.0307,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
355,364,2020-05-01,9,0.0247,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
378,388,2020-05-15,10,0.0258,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
456,466,2020-06-01,10,0.0215,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
651,663,2020-06-15,12,0.0181,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
961,975,2020-07-01,14,0.0144,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
1614,1631,2020-07-15,17,0.0104,0,Alaska,AK,211300.80999999997,734417.0,3.475694201077602,35617.24912141195,51875.0
12,13,2020-03-15,0,0.0,1,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
1501,1530,2020-04-01,29,0.019,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
3822,3964,2020-04-15,142,0.0358,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
7639,7969,2020-05-01,330,0.0414,0,Arizona,AZ,89709.56,6940873.0,77.37049429291594,29270.505602825462,49063.0
