Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr
12,12,2020-03-15,0,0,0,Alabama,AL
1,1,2020-03-15,0,0,0,Alaska,AK
12,13,2020-03-15,0,0,1,Arizona,AZ
16,16,2020-03-15,0,0,0,Arkansas,AR
414,426,2020-03-15,6,0.0141,6,California,CA
130,131,2020-03-15,1,0.0076,0,Colorado,CO
24,24,2020-03-15,0,0,0,Connecticut,CT
7,7,2020-03-15,0,0,0,Delaware,DE
111,115,2020-03-15,4,0.0348,0,Florida,FL
98,99,2020-03-15,1,0.0101,0,Georgia,GA
6,6,2020-03-15,0,0,0,Hawaii,HI
5,5,2020-03-15,0,0,0,Idaho,ID
91,93,2020-03-15,0,0,2,Illinois,IL
20,20,2020-03-15,0,0,0,Indiana,IN
18,18,2020-03-15,0,0,0,Iowa,IA
7,8,2020-03-15,1,0.125,0,Kansas,KS
20,20,2020-03-15,0,0,0,Kentucky,KY
89,91,2020-03-15,2,0.022,0,Louisiana,LA
12,12,2020-03-15,0,0,0,Maine,ME
32,32,2020-03-15,0,0,0,Maryland,MD
163,164,2020-03-15,0,0,1,Massachusetts,MA
33,33,2020-03-15,0,0,0,Michigan,MI
35,35,2020-03-15,0,0,0,Minnesota,MN
10,10,2020-03-15,0,0,0,Mississippi,MS
5,5,2020-03-15,0,0,0,Missouri,MO
7,7,2020-03-15,0,0,0,Montana,MT
17,17,2020-03-15,0,0,0,Nebraska,NE
24,24,2020-03-15,0,0,0,Nevada,NV
13,13,2020-03-15,0,0,0,New Hampshire,NH
96,98,2020-03-15,2,0.0204,0,New Jersey,NJ
13,13,2020-03-15,0,0,0,New Mexico,NM
729,732,2020-03-15,3,0.0041,0,New York,NY
33,33,2020-03-15,0,0,0,North Carolina,NC
1,1,2020-03-15,0,0,0,North Dakota,ND
37,37,2020-03-15,0,0,0,Ohio,OH
7,7,2020-03-15,0,0,0,Oklahoma,OK
35,36,2020-03-15,1,0.0278,0,Oregon,OR
