Zip Code,State,County,Median Household Income,Land Area in Square Miles
00601,PR,Adjuntas Municipio,,
00602,PR,Aguada Municipio,,30.61
00603,PR,Aguadilla Municipio,,31.61
00606,PR,Maricao Municipio,,42.31
00610,PR,Aasco Municipio,,35.92
00612,PR,Arecibo Municipio,,67.61
00616,PR,Arecibo Municipio,,11.53
00617,PR,Barceloneta Municipio,,15.19
00622,PR,Cabo Rojo Municipio,,28.99
00623,PR,Cabo Rojo Municipio,,37.98
00624,PR,Peuelas Municipio,,
00627,PR,Camuy Municipio,,46.35
00631,PR,Lares Municipio,,
00637,PR,Sabana Grande Municipio,,
00638,PR,Ciales Municipio,,66.04
00641,PR,Utuado Municipio,,93.53
00646,PR,Dorado Municipio,,
00647,PR,Gunica Municipio,,15.2
00650,PR,Florida Municipio,,30.52
00652,PR,Arecibo Municipio,,6.91
00653,PR,Gunica Municipio,,15.24
00656,PR,Guayanilla Municipio,,32.42
00659,PR,Hatillo Municipio,,41.78
00660,PR,Hormigueros Municipio,,11.34
00662,PR,Isabela Municipio,,
00664,PR,Jayuya Municipio,,45.52
00667,PR,Lajas Municipio,,
00669,PR,Lares Municipio,,61.55
00670,PR,Las Maras Municipio,,45.57
00674,PR,Manat Municipio,,44.94
00676,PR,Moca Municipio,,
00677,PR,Rincn Municipio,,14.34
00678,PR,Quebradillas Municipio,,26.36
00680,PR,Mayagez Municipio,,64.19
00682,PR,Mayagez Municipio,,14.42
00683,PR,San Germn Municipio,,52.19
00685,PR,San Sebastin Municipio,,77.53
00687,PR,Morovis Municipio,,38.87
00688,PR,Arecibo Municipio,,31.82
00690,PR,Aguadilla Municipio,,2.82
00692,PR,Vega Alta Municipio,,26.76
00693,PR,Vega Baja Municipio,,39.32
00694,PR,Vega Baja Municipio,,0.79
00698,PR,Yauco Municipio,,69.62
00703,PR,Aguas Buenas Municipio,,29.67
00704,PR,Salinas Municipio,,4.88
00705,PR,Aibonito Municipio,,31.95
00707,PR,Maunabo Municipio,,21.07
00714,PR,Arroyo Municipio,,14.62
00715,PR,Ponce Municipio,,7.89
00716,PR,Ponce Municipio,,8.53
00717,PR,Ponce Municipio,,2.09
00718,PR,Naguabo Municipio,,45.24
00719,PR,Naranjito Municipio,,28.0
00720,PR,Orocovis Municipio,,59.6
00723,PR,Patillas Municipio,,
00725,PR,Caguas Municipio,,42.16
00727,PR,Caguas Municipio,,21.55
00728,PR,Ponce Municipio,,15.65
00729,PR,Canvanas Municipio,,33.96
00730,PR,Ponce Municipio,,6.51
00731,PR,Ponce Municipio,,47.62
00735,PR,Ceiba Municipio,,23.31
00736,PR,Cayey Municipio,,55.1
00738,PR,Fajardo Municipio,,29.44
00739,PR,Cidra Municipio,,31.58
00740,PR,Fajardo Municipio,,
00741,PR,Humacao Municipio,,2.36
00745,PR,Ro Grande Municipio,,
00751,PR,Salinas Municipio,,46.97
00754,PR,San Lorenzo Municipio,,51.03
00757,PR,Santa Isabel Municipio,,
00765,PR,Vieques Municipio,,19.04
00766,PR,Villalba Municipio,,40.04
00767,PR,Yabucoa Municipio,,55.41
00769,PR,Coamo Municipio,,76.51
00771,PR,Las Piedras Municipio,,33.82
00772,PR,Loza Municipio,,14.66
00773,PR,Luquillo Municipio,,24.31
00775,PR,Culebra Municipio,,10.56
00777,PR,Juncos Municipio,,26.58
00778,PR,Gurabo Municipio,,29.64
00780,PR,Ponce Municipio,,20.09
00782,PR,Comero Municipio,,26.64
00783,PR,Corozal Municipio,,41.85
00784,PR,Guayama Municipio,,55.56
