Population,Median Household Income,Per Capita Income,Zipcode,Population density
17242.0,13092.0,6999.0,00601,5.284509702625848e-05
38442.0,16358.0,9277.0,00602,0.00011782108919402786
48814.0,16603.0,11307.0,00603,0.00014961028687157993
6437.0,12832.0,5943.0,00606,1.9728795357732618e-05
27073.0,19309.0,10220.0,00610,8.297618094141607e-05
60303.0,18171.0,10549.0,00612,0.00018482298375910365
10765.0,16018.0,9102.0,00616,3.299370545688856e-05
23974.0,16735.0,9122.0,00617,7.347803944481619e-05
6578.0,15206.0,11749.0,00622,2.0160947003754105e-05
42427.0,16280.0,8857.0,00623,0.00013003473677839395
22707.0,17578.0,8696.0,00624,6.959480444120469e-05
32222.0,16831.0,10252.0,00627,9.87573782844276e-05
1568.0,9681.0,7863.0,00631,4.805771496182188e-06
22975.0,16887.0,9586.0,00637,7.04161990591746e-05
16701.0,14916.0,8485.0,00638,5.118698326386399e-05
27571.0,16795.0,8739.0,00641,8.450250377630046e-05
37494.0,29320.0,16462.0,00646,0.00011491555897822384
5643.0,13674.0,7556.0,00647,1.72952605567322e-05
14760.0,19631.0,8799.0,00650,4.523800209416397e-05
3697.0,21650.0,11156.0,00652,1.133095486057752e-05
11140.0,12915.0,7366.0,00653,3.414304494098825e-05
18979.0,16902.0,8701.0,00656,5.816883751660826e-05
40390.0,17201.0,10659.0,00659,0.0001237915247007644
16180.0,19394.0,11874.0,00660,4.959016760728815e-05
40290.0,17180.0,9320.0,00662,0.00012348503417167116
14991.0,15253.0,7501.0,00664,4.594599521636938e-05
23590.0,13766.0,7268.0,00667,7.230111581309811e-05
25653.0,14816.0,8779.0,00669,7.862401542829189e-05
8498.0,13427.0,7270.0,00670,2.6045565162344538e-05
39859.0,19211.0,10878.0,00674,0.00012216405999127924
36995.0,14146.0,8802.0,00676,0.00011338617123804851
14311.0,21673.0,11663.0,00677,4.386185961853527e-05
26091.0,16200.0,9654.0,00678,7.996644394572033e-05
46395.0,13911.0,10404.0,00680,0.00014219628097281417
32359.0,15029.0,11102.0,00682,9.917727030928536e-05
30424.0,15523.0,9829.0,00683,9.324667857133093e-05
38039.0,14617.0,8724.0,00685,0.00011658593236178205
31320.0,20589.0,9715.0,00687,9.599283371200647e-05
12202.0,17231.0,9155.0,00688,3.739797435995859e-05
5352.0,17622.0,11632.0,00690,1.640337311707084e-05
35840.0,19094.0,11955.0,00692,0.00010984620562702145
54428.0,19119.0,10536.0,00693,0.0001668166651748751
69.0,-666666666.0,6880.0,00694,2.1147846507434374e-07
36312.0,15019.0,8355.0,00698,0.0001112928409243416
26320.0,17129.0,10040.0,00703,8.066830725734388e-05
8274.0,14293.0,7373.0,00704,2.5359026377175654e-05
23176.0,19516.0,10562.0,00705,7.103224502265204e-05
10964.0,19596.0,9398.0,00707,3.360362160978413e-05
17998.0,17095.0,8021.0,00714,5.516216542620346e-05
2972.0,13070.0,7114.0,00715,9.108898524651443e-06
28089.0,18818.0,14616.0,00716,8.60901247170035e-05
16659.0,12251.0,9975.0,00717,5.105825724164482e-05
25715.0,19318.0,9329.0,00718,7.881403955632971e-05
29119.0,19757.0,9167.0,00719,8.9246977166664e-05
21276.0,13408.0,7914.0,00720,6.520892496988026e-05
17393.0,15826.0,9270.0,00723,5.330789772518929e-05
80555.0,20920.0,13109.0,00725,0.000246893445711069
54823.0,31401.0,16733.0,00727,0.00016802730276479344
39698.0,19047.0,9597.0,00728,0.0001216706102394391
51593.0,20920.0,11730.0,00729,0.00015812765867508142
31634.0,15431.0,11224.0,00730,9.695521397335928e-05
12722.0,17083.0,10431.0,00731,3.8991725111243496e-05
12404.0,19184.0,12739.0,00735,3.8017085228726954e-05
47411.0,21000.0,11996.0,00736,0.00014531022474840161
30376.0,19404.0,11926.0,00738,9.309956311736617e-05
36847.0,20098.0,11112.0,00739,0.0001129325652549905
1625.0,13136.0,6748.0,00740,4.980471097765342e-06
4880.0,22073.0,10191.0,00741,1.4956737819750688e-05
51429.0,22782.0,11076.0,00745,0.00015762501420736849
21009.0,17567.0,9556.0,00751,6.439059525720128e-05
37727.0,18895.0,10970.0,00754,0.00011562968191101111
22066.0,17640.0,10895.0,00757,6.763020014971695e-05
8607.0,15271.0,11174.0,00765,2.6379639839056185e-05
23201.0,19746.0,10631.0,00766,7.110886765492535e-05
34166.0,15999.0,9144.0,00767,0.00010471555417000042
39121.0,19928.0,10774.0,00769,0.00011990215988657104
37165.0,21499.0,11157.0,00771,0.00011390720513750704
20055.0,15658.0,7934.0,00772,6.146667560965165e-05
18547.0,20829.0,11007.0,00773,5.684479843092541e-05
1299.0,23281.0,11658.0,00775,3.981311972921341e-06
39994.0,19139.0,9414.0,00777,0.00012257782220555512
46675.0,33763.0,17457.0,00778,0.00014305445445427528
11653.0,24287.0,14194.0,00780,3.571534135523663e-05
18229.0,12492.0,6747.0,00782,5.587015854840887e-05
33372.0,14748.0,7532.0,00783,0.000102282019369
40685.0,16680.0,9889.0,00784,0.0001246956717615895
